construct_name;construct_frequency
age;4
agreeableness;1
attitude;1
avoidance behavior;1
awareness;10
awareness campaign;2
competition effectiveness for recruitment;1
competition performance and satisfaction;1
concerns;2
conscientiousness;1
control salience;2
culture;1
device type;1
dominant orientation;1
ease of use;1
education;2
effort;1
experience;6
expertise;7
extroversion;1
fatigue;1
gaming;1
gender;7
government social media participation;1
habit;2
hearsay;1
information security policy;3
innovativeness;1
interest;1
job satisfaction;1
knowledge;3
learner control and feedback;2
learner engagement;1
literacy;2
loss;1
mental resources;1
monitoring and evaluation;1
negative emotions;4
neuroticism;1
news exposure;1
norms;2
openness;1
organizational climate;1
organizational fit;1
peer influence;1
perceived risk;2
positive emotions;5
problematic behavior;1
protection behavior;1
psychological reactance;1
reading information;1
response efficacy;1
rewards;1
sanctions;1
self-determination;1
self-technical controllability;1
serenity;1
sharing;1
shyness;1
support;3
surprise;1
system satisfaction;1
threat severity;2
threat susceptibility;2
training;6
training effectiveness;1
usefulness;1
verbal persuasion;1
vicarious experience;2
work arrangement;1
