construct_name;construct_frequency
affects (shyness, fatigue, serenity, surprise);1
age;4
avoidance behavior;1
computer expertise;2
computer skills;1
countermeasure awareness;2
culture;1
cyber privacy awareness message;1
cyber risk beliefs;1
cyber security course;1
cybersecurity habit strength;1
cybersecurity training methods (video training vs. malware report training);1
device type (mobile vs. home computer);1
dominant orientation;1
education;2
effectiveness of competitions at recruiting individuals into the cybersecurity workforce;1
existence of explicit cybersecurity policy;1
experience;1
experience with cyber security practice;1
experience with security;1
exposure to government surveillance news;1
facebook training;1
GenCyber program;1
gender;7
general information security awareness;1
general privacy concern;1
general technology awareness;1
government social media participation;1
habit;1
have had a security and privacy problem on the Internet;1
having heard of someone who had a security and privacy problem on the Internet;1
imposition of sanctions;1
information /= threat awareness;1
information ethics course;1
information security issues awareness;1
information security policy;1
information security policy awareness;2
information system security awareness campaign;1
innovativeness;1
interest in cybersecurity activities;1
internet proficiency level;1
introductory cybersecurity course;1
job satisfaction in cybersecurity;1
learner control;1
management support;1
monitoring and evaluation;1
news exposure about data breaches;1
norms about information security;1
organizational security climate;1
password training;1
peer influence;1
perceived detector effort requirement;1
perceived detector usefulness;1
perceived fit within cybersecurity organizations;1
perceived loss due to detector error;1
perceived threat severity;2
perceived threat susceptibility;2
performance and satisfaction within the cybersecurity competition;1
personal motivation /= security attitude;1
personality traits (neuroticism, extroversion, openess, agreeableness, conscientiousness);1
persuasion knowledge;1
playing game;1
positive emotions (moderator: information security awareness);1
power usage;1
prior malware experience;1
privacy concern;1
privacy control salience;1
privacy customization;1
privacy knowledge;1
privacy risk awareness;1
problematic information security behavior;1
proficiency in security;1
protection behavior;1
provision of rewards;1
psychological reactance;1
reading information on cybersecurity;1
response efficacy;1
risk perception;1
security awareness;1
security competence;1
security easy of use;1
security system satisfaction;1
self-determination;1
self-technical controllability;1
SETA (security education, training, and awareness effectiveness);1
sharing preferences;1
situational support;1
social motivation /= social support;1
social online privacy literacy;1
specification of information security policies and procedures;1
subjective norm;1
technological online privacy literacy;1
training method;1
training to use security;1
trait negative affect;3
trait negative affect (fear, hostility, guilt, sadness);1
trait positive affect;3
trait positive affect (joviality, self-assurance, attentiveness);1
verbal persuasion;1
vicarious experience (moderator: self-monitoring);1
vicarious experience of enactive mastery training;1
victim of hacking;1
work arrangement (in-house vs. remote employee);1
