authors;publication_year;item_list;referenced_scale_authors;scale_name
Verkijika;2019;"1. I feel confident in my ability to detect phishing emails on a mobile device
2. I feel confident in my ability to detect mobile apps that are not from trusted sources
3. I could successfully gain anti-phishing knowledge pertaining to mobile phishing threats if no one else helped me get started
4. I feel confident in my ability to identify SMSs and mobile app messages with links that are not from trusted sources
5. I could successfully gain anti-phishing knowledge pertaining to mobile phishing threats if I had never learned it before";"Arachchilage et al. (2014); Sun et al. (2016); Thompson et al. (2017)";Anti-Phishing Self-Efficacy
Lian;2020;NA;"Rhee et al. (2009); Liang et al. (2010)";BYOD Information Security Self-Efficacy
Alqarni;2017;"1. I am confident of recognizing a suspicious email.
2. I am confident of recognizing suspicious email headers.
3. I am confident of recognizing suspicious email attachement filename.
4. I can recognize a suspicious email attachment even if there was no one around to help me.";Ng et al. (2009);Computer Self-Efficacy
Chou et al.;2017;Example: When my computer is infected with viruses, I can manage it calmly and promptly.;NA;Coping Self-Efficacy
Kusyanti et al.;2019;NA;Tsai et al. (2016);Coping Self-Efficacy
Shillair et al.;2015;"Participants were asked if they were confident they could 
1.‘‘identify the terms of software license agreements that pose a threat,’’ 
2.‘‘download a Trojan scanner,’’ 
3. ‘‘identify the terms of web site privacy policies that threaten me,’’ 
4.‘‘identify a new anti-malware program that will improve my safety,’’ 
5.‘‘tell when it is safe to open an email attachment.’’";NA;Coping Self-Efficacy
Shillair et al.;2016;"1. I feel comfortable taking measures to secure my primary home computer
2. Taking the necessary security measures is entirely under my control
3. I have the resources and the knowledge to take necessary security measures
4. Taking necessary security measures is easy";NA;Coping Self-Efficacy
Booth;2019;"1. Overall, my ""cyber self-efficacy"" is: / 1. When interacting with 1Stop online, my ""cyber self-efficacy"" is:";Ajzen (2002);Cyber Self-Efficacy
Booth et al.;2019;NA;Ajzen (2002);Cyber Self-Efficacy
Amo;2016;"I am good at problem-solving.
I persist until a solution is found.
I am confident in my ability to meet unexpected challenges with success.
I enjoy being challenged by seemingly unsolvable situations or problems.
I spend my spare time learning about computers and technology.
If I encounter a problem with computer hardware, I am confident that I would be able to fix it.
I want to learn more about cybersecurity in school.
I envision myself learning more about cybersecurity in the future.
I would like to explore career options related to cybersecurity.
I generally have fun when I am learning cybersecurity topics.
I am happy working on cybersecurity tasks and problems.
I enjoy acquiring new knowledge in cybersecurity.
I like learning about cybersecurity.
(1) I completely understand what this task entails; (2) I am very confident in my ability to perform this task:
Access system's users and accounts
Make changes to a user's account (e.g. password, permission)
Update software program
View network traffic
Monitor system logs
Open the command line interface
Navigate directories using command line interface
Describe how computers on the internet communicate with each other
Make changes to firewall rules
Find a system's IP address
Find a system's subnet mask
Discuss the role of DHCP in a computer network
Create a web page using HTML
Manage web server software
Identify a secure URL
Find errors in HTML
Fix errors in HTML
Recognize tricks that cybercriminals use to
steal information
Recognize malware infections
Identify characteristics of advanced malware";Amo et al. (2015);Cybersecurity Engagement and Self-Efficacy Scale
