construct_name;construct_frequency
age;4
agreeableness;1
awareness campaign;2
conscientiousness;1
control salience;2
culture;1
device type;1
dominant orientation;1
ease of use;1
education;2
experience;6
extroversion;1
fatigue;1
gaming;1
gender;7
government social media participation;1
habit;2
information security policy;3
innovativeness;1
knowledge;3
learner control and feedback;2
learner engagement;1
loss;1
mental resources;1
monitoring and evaluation;1
negative emotions;4
neuroticism;1
news exposure;1
norms;2
openess;1
organizational climate;1
peer influence;1
positive emotions;5
psychological reactance;1
reading information;1
rewards;1
sanctions;1
self-determination;1
self-technical controllability;1
serenity;1
shyness;1
support;3
surprise;1
threat severity;2
threat susceptibility;2
training;6
training effectiveness;1
usefulness;1
verbal persuasion;1
vicarious experience;2
work arrangement;1
