construct_name;construct_frequency
avoidance motivation;1
emotional state;1
general security awareness;1
general security compliance behavior;1
general self-efficacy;1
general technology awareness;1
information security reinforcement intention;1
information security risk perception;1
mastery experience;1
organizational rewards;1
organizational sanctions;1
password compliance behavior;1
privacy risk;1
risk propensity;1
security response efficacy;1
security skill use and development;1
self-technical controllability;1
verbal persuasion;1
vicarious experience;1
