id;publication_type;authors;year;title;editors;journal_book_conf;volume;issue;pages;publisher;doi;isbn;citations;notes;peer_reviewed;exclude;study_samples;study_type;study_setting;smarthome;technology;scale_origin;scale_number;scale_number_new;reliability_alpha_studypaper;reliability_alpha_studypaper_new;reliability_composite_studypaper;reliability_other_studypaper;validity_information_studypaper;as_outcome_variable;cause_variables;cause_variables_new;cause_variables_theory;cause_variables_theory_other;cause_variables_theory_certainty;as_cause_variable;outcome_variables;outcome_variables_new;outcome_variables_theory;intervention;intervention_description;intervention_description_new;sample_size;sample_size_new;sample_age;sample_age_new;sample_sex;sample_sex_male;sample_sex_female;sample_sex_nonbinary;sample_sex_noresponse;sample_profession;sample_profession_new;sample_recruitment;sample_country
1;0;Alturki et al.;2020;Factors Influencing Players’ Susceptibility to Social Engineering in Social Gaming Networks;NA;IEEE Access (IEEE Access);8;NA;97383–97391;NA;10.1109/ACCESS.2020.2995619;NA;3 (google scholar 08.07.21);"possible error for stated scale author for items 2-4; loadings of 3 variables listed but 4 items included in the survey";1;1;NA;2;0;0;social_gaming_network;1;1;54;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;social engineering victimization;victimization;other;0;NA;NA;302;302;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;Saudi Arabia
4;2;Farooq et al.;2019;Factors Affecting Security Behavior of Kenyan Students: An Integration of Protection Motivation Theory and Theory of Planned Behavior;NA;2019 IEEE AFRICON;NA;NA;1–8;Accra, Ghana;10.1109/AFRICON46755.2019.9133764;NA;1 (google scholar, 12.4.21);NA;1;1;NA;2;0;0;not_specified;1;IB:1 vs NB:2;1;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;behavioral security intention;security intention;intention;0;NA;NA;123;123;"22.34 (SD = 3.99); range 17-35";22,3400000000000;"69% male; 31% female";69,00;31,00;NA;NA;students;students;2;Kenya
8;0;Abdallah et al.;2020;Information security awareness behavior among higher education students: Case study;NA;Journal of Theoretical and Applied Information Technology;98;18;3825–3836;NA;NA;NA;0 (scopus, 12.4.21);NA;1;1;NA;2;NA;0;not_specified;1;1;106;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;information security awareness;awareness;other;0;NA;NA;180;180;"< 20: 38.8%; >20: 61.2%";31,6580000000000;"60.5% male; 39.5%female";60,50;39,50;NA;NA;students;students;2;UAE
10;5;Abraham;2012;Exploring the effectiveness of information security training and persuasive messages;NA;Doctor of Philosophy;NA;NA;NA;ProQuest LLC;NA;NA;3 (google scholar, 8.6.21);sample seems to have similarities to ID 11 (due to different sample size not coded as a sample duplicate);2;1;NA;0;0;0;computer;1;IB:2 vs NB:;2;NA;NA;NA;NA;NA;1;"prior malware experience; training method (learner control and feedback)";"experience; learner control and feedback";"mastery; mastery, persuasion";NA;1;1;"danger control; fear control";"danger control; fear control";"control; control";1;"training to identify fake websites; detailed steps that can be taken in order to implement security practices; three kinds of fear appeal messages (basic fear appeal, two-sided fear appeal, graphic fear appeal); two kinds of training (CDT present (Component Display Theory applied (training is learner-driven along two dimensions [content and performance] and provides primary and secondary presentation forms)); CDT non-present); CDT-centered tutorial provided avenues for rules, examples, recall, practice and control which was facilitated by stating objectives (making the training menu-based, with interactive modules, hyperlinks, interactive practice examples
and quizzes.); self-efficacy was measured pre- and post-test";training to identify fake websites:  training with Component Display Theory applied (learner-driven) vs. training without CDT applied;151;151;20-29: 60%;24,5000000000000;"68% male; 30% female; 2% NA";68,00;30,00;NA;1,00;students;students;2;USA
11;0;Abraham et al.;2019;Evaluating the effectiveness of learner controlled information security training;NA;Computers & Security;87;NA;101586;Elsevier;10.1016/j.cose.2019.101586;NA;16 (google scholar 08.07.21);sample seems to have similarities to ID 10 (due to different sample size not coded as a sample duplicate);1;1;NA;0;0;0;"not_specified; computer";1;2;55;NA;NA;NA;NA;NA;1;training method (learner control and feedback);learner control and feedback;mastery, persuasion;NA;1;1;behavioral intent to comply with information security best practices;compliance intention;intention;1;"the online training covered the topics web security best practices such as examining URLs, the importace of https, padlock icon and other common indicators of fake websites such as spelling errors ; manipulation of the training method (2 conditions, with or without instructional control elements); non-leanerer-control condition covered the ame contents but without hyberlinks, questions, answers and examples that were included in the learner-control-condition; the training was followed by a survey that included a security training performance test";training to learn security best practices: training with instructional control element (learner-control) and training without instructional control elements (non-learner-control);197;197;"6% 18-20; 60% 20-29; 8% >30; 26% NA";29,5800000000000;68% male, 30% female, 2% NA;68,00;30,00;NA;2,00;students;students;2;USA
15;0;Adhikari et al.;2018;Users' Information Privacy Concerns and Privacy Protection Behaviors in Social Networks;NA;Journal of Global Marketing;31;2;1–15;NA;10.1080/08911762.2017.1412552;NA;31 (Google Scholar, 30.04.21);NA;1;1;NA;2;1;0;"not_specified; social_network";1;IB:3 vs NB:4;3;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;users' information privacy concern;concerns;other;0;NA;NA;306;306;"median 22; range 18-34";22,0000000000000;"58.17% male; 41.83% female";58,17;41,83;NA;NA;students;students;2;India
19;0;Ahmad et al.;2019;Security monitoring and information security assurance behaviour among employees;NA;Information and Computer Security;27;2;165–188;NA;10.1108/ics-10-2017-0073;NA;17 (google scholar, 26.4.21);NA;1;1;NA;2;0;0;computer;1;IB:4 vs NB:1;4;NA;NA;NA;NA;NA;1;information security policy;information security policy;persuasion;NA;0;1;security assurance behavior;assurance behavior;behavior;0;NA;NA;525;525;"<30: 25%; 31-40: 38.5%; 41-50: 23.8%; 51-60: 12.8%";37,6005000000000;"59.2% male; 40.8% female";59,20;40,80;NA;NA;employees from telecommunication companies;employees from telecommunication companies;2;Malaysia
25;0;Alanazi et al.;2020;Theory-Based Model and Prediction Analysis of Information Security Compliance Behavior in the Saudi Healthcare Sector;NA;Symmetry;12;9;1544;MDPI;10.3390/sym12091544;NA;4 (google scholar 08.07.21);NA;1;1;NA;2;0;0;"not_specified; computer; workplace_IT";1;3;56;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;information security compliance behavior;compliance behavior;behavior;0;NA;NA;433;433;M = 33.2;33,2000000000000;53.10% male, 46.9% female;53,10;46,90;NA;NA;healthcare personnel;healthcare professionals;2;Saudi Arabia
26;2;Albladi et al.;2017;Competence Measure in Social Networks;NA;2017 International Carnahan Conference on Security Technology (Iccst);NA;NA;NA;Madrid, Spain;NA;NA;5 (google scholar, 26.4.21);NA;0;1;NA;2;NA;0;"not_specified; social_network";1;2;107;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;user competence in detecting security threats in online social networks;expertise;other;0;NA;NA;17;17;range: 25-44;34,5000000000000;12 female;29,41;70,59;NA;NA;students;students;2;UK
28;0;Al-diabat;2018;Investigating the Determinants of College Students Information Security Behavior Using a Validated Multiple Regression Models;NA;International Journal of Computer Science and Information Technology;10;6;81–96;NA;10.5121/ijcsit.2018.10608;NA;1 (google scholar, 8.6.21);"Items 2 and 3 identical wording (but we suspect a copy paste error [cf. paper ID 34 items]); item assignment to authors does not match (have all items only from Ng et al. (2009) and not from two authors; [cf. paper ID 34 items])";1;1;NA;2;1;0;computer;1;IB:5 vs NB:;5;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;information computer security behavior;security behavior;behavior;0;NA;NA;263;263;"18-22: 61%; 23-30: 23%; 31-40: 9%; >=41: 7%";25,0250000000000;"59% male; 41% female";59,00;41,00;NA;NA;students;students;2;USA
32;5;Almuqrin;2018;Examining the influence of technology acceptance, self-efficacy, and locus of control on information security behavior of social media users;NA;Doctor of Philosophy;NA;NA;NA;ProQuest LLC;NA;NA;NA;no citation found;2;1;NA;2;0;0;"not_specified; social_network";1;3;108;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;information security behavior;security behavior;behavior;0;NA;NA;559;559;range: 18-29, M = 23.14;23,1400000000000;"50.8% male; 49.2% 
female";50,80;49,20;NA;NA;students;students;2;Saudi Arabia
34;5;Alqarni;2017;Exploring factors that affect adoption of computer security practices among college students;NA;Doctor of Philosophy in Technology;NA;NA;763;Master's Theses and Doctoral Dissertations;NA;NA;2 (google scholar, 8.6.21);original scale Ng et al. (2009);1;1;NA;2;1;0;computer;0;IB:6 vs NB:Ng et al. (2009);6;0.82;0.82;NA;NA;"content validity: pilot study; N = 10; 
convergent validity: corrected total item correlation (table 18) and 
discriminant validity: inter-correlations (table 18): computer security practices; perceived vulnerability; perceived severity; response efficacy;  perceived usefulness; perceived ease of use; awareness; attitude toward computer security practices; subjective norms; perceived behavioral control";0;NA;NA;NA;NA;NA;1;computer security practices;security behavior;behavior;0;NA;NA;301;301;"18-28: 90%; 29-38: 7.6%; +39: 2.3%";24,3845000000000;NA;NA;NA;NA;NA;students;students;2;USA
