scale_number_new;N
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12A;1
13;2
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33A;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
104;2
43;1
44;1
45;1
46;1
47B;1
48;1
49;1
50;1
51;1
74;2
12G;1
52;1
53;1
54;1
55;1
56;1
57;1
12C;1
12D;1
12E;1
12F;1
58;1
59;1
60;1
61A;1
61B;1
61C;1
62;1
63;1
64A;1
64B;1
65;1
66;1
67;1
68;1
69;1
70;1
71B;1
72;1
73;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
12H;1
83;1
84;1
71A;2
85B;1
86;1
87;1
88;1
89B;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;3
99;1
100;1
101;1
102;1
103;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
12B;1
118;1
119A;1
119B;1
119C;1
120;1
121;1
122;1
123;1
124;1
85A;1
125;1
126;1
127;1
128;1
129;1
130;1
131;1
132;1
47A;1
133;1
134;1
135;1
12I;1
136;1
137;1
138;1
89A;1
139;1
140;1
141;1
142;1
143;1
144;1
145;1
146;1
147;1
148;1
149;1
150;1
33B;1
151;1
152;1
153;1
154;1
155;1
