"";"cause_variables_new";"cause_variables_groups"
"1";"age";"demographics"
"2";"age";"demographics"
"3";"age";"demographics"
"4";"age";"demographics"
"5";"agreeableness";"cognitive"
"6";"attitude";"cognitive"
"7";"avoidance behavior";"mastery"
"8";"awareness";"cognitive"
"9";"awareness";"cognitive"
"10";"awareness";"cognitive"
"11";"awareness";"cognitive"
"12";"awareness";"persuasion"
"13";"awareness";"persuasion"
"14";"awareness";"cognitive"
"15";"awareness";"mastery, persuasion"
"16";"awareness";"mastery, persuasion"
"17";"awareness";"cognitive"
"18";"awareness campaign";"persuasion"
"19";"awareness campaign";"vicarious experience"
"20";"competition effectiveness for recruitment";"cognitive"
"21";"competition performance and satisfaction";"mastery"
"22";"concerns";"cognitive"
"23";"concerns";"cognitive"
"24";"conscientiousness";"cognitive"
"25";"control salience";"persuasion"
"26";"control salience";"persuasion"
"27";"culture";"demographics"
"28";"device type";"mastery"
"29";"dominant orientation";"cognitive"
"30";"ease of use";"emotional arousal"
"31";"education";"demographics"
"32";"education";"demographics"
"33";"effort";"cognitive"
"34";"experience";"mastery"
"35";"experience";"mastery"
"36";"experience";"mastery, emotional arousal"
"37";"experience";"mastery"
"38";"experience";"mastery"
"39";"experience";"mastery"
"40";"expertise";"mastery"
"41";"expertise";"mastery"
"42";"expertise";"mastery"
"43";"expertise";"mastery"
"44";"expertise";"mastery"
"45";"expertise";"mastery"
"46";"expertise";"mastery"
"47";"extroversion";"cognitive"
"48";"fatigue";"emotional arousal"
"49";"gaming";"mastery, vicarious experience"
"50";"gender";"demographics"
"51";"gender";"demographics"
"52";"gender";"demographics"
"53";"gender";"demographics"
"54";"gender";"demographics"
"55";"gender";"demographics"
"56";"gender";"demographics"
"57";"government social media participation";"mastery, vicarious experience, persuasion"
"58";"habit";"mastery"
"59";"habit";"mastery"
"60";"hearsay";"vicarious experience"
"61";"information security policy";"persuasion"
"62";"information security policy";"persuasion"
"63";"information security policy";"persuasion"
"64";"innovativeness";"cognitive"
"65";"interest";"cognitive"
"66";"job satisfaction";"cognitive"
"67";"knowledge";"cognitive"
"68";"knowledge";"cognitive"
"69";"knowledge";"cognitive"
"70";"learner control and feedback";"mastery, persuasion"
"71";"learner control and feedback";"mastery, persuasion"
"72";"learner engagement";"cognitive"
"73";"literacy";"mastery"
"74";"literacy";"mastery"
"75";"loss";"cognitive"
"76";"mental resources";"cognitive"
"77";"monitoring and evaluation";"persuasion"
"78";"negative emotions";"emotional arousal"
"79";"negative emotions";"emotional arousal"
"80";"negative emotions";"emotional arousal"
"81";"negative emotions";"emotional arousal"
"82";"neuroticism";"cognitive"
"83";"news exposure";"persuasion, vicarious experience"
"84";"norms";"persuasion"
"85";"norms";"vicarious experience, persuasion"
"86";"openness";"cognitive"
"87";"organizational climate";"persuasion, vicarious experience"
"88";"organizational fit";"cognitive"
"89";"peer influence";"persuasion"
"90";"perceived risk";"cognitive"
"91";"perceived risk";"cognitive"
"92";"positive emotions";"emotional arousal, mastery"
"93";"positive emotions";"emotional arousal"
"94";"positive emotions";"emotional arousal"
"95";"positive emotions";"emotional arousal"
"96";"positive emotions";"emotional arousal"
"97";"problematic behavior";"persuasion"
"98";"problematic behavior";"mastery"
"99";"protection behavior";"mastery"
"100";"psychological reactance";"emotional arousal"
"101";"reading information";"persuasion"
"102";"response efficacy";"cognitive"
"103";"rewards";"persuasion"
"104";"sanctions";"persuasion"
"105";"self-determination";"mastery"
"106";"self-technical controllability";"cognitive"
"107";"serenity";"emotional arousal"
"108";"sharing";"mastery"
"109";"shyness";"emotional arousal"
"110";"support";"persuasion"
"111";"support";"persuasion"
"112";"support";"persuasion"
"113";"surprise";"emotional arousal"
"114";"system satisfaction";"cognitive"
"115";"threat severity";"mastery"
"116";"threat severity";"mastery"
"117";"threat susceptibility";"mastery"
"118";"threat susceptibility";"mastery"
"119";"training";"mastery, vicarious experience"
"120";"training";"mastery, vicarious experience, persuasion"
"121";"training";"vicarious experience"
"122";"training";"mastery, vicarious experience, persuasion"
"123";"training";"mastery, vicarious experience, persuasion"
"124";"training";"persuasion"
"125";"training effectiveness";"mastery"
"126";"usefulness";"cognitive"
"127";"verbal persuasion";"persuasion"
"128";"vicarious experience";"vicarious experience"
"129";"vicarious experience";"vicarious experience"
"130";"work arrangement";"persuasion, vicarious experience"
